2018-10-11 11:34:40.949 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/bank/update],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.BankController.update(com.ant.entity.User,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer)
2018-10-11 11:34:40.949 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/bank/find],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.BankController.find(com.ant.entity.User)
2018-10-11 11:34:40.950 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/btcAddr/add]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.BtcAddrController.add(com.ant.entity.User,java.lang.String)
2018-10-11 11:34:40.951 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/btcAddr/update]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.BtcAddrController.update(com.ant.entity.User,java.lang.String,java.lang.Integer)
2018-10-11 11:34:40.953 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/btcAddr/find],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.BtcAddrController.find(com.ant.entity.User)
2018-10-11 11:34:40.955 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/cloud/findList],methods=[GET]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.CloudProductController.list()
2018-10-11 11:34:40.955 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/cloud/findOne/{productId}],methods=[GET]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.CloudProductController.info(java.lang.Integer)
2018-10-11 11:34:40.956 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/cloud/findFirst],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.CloudProductController.findOne()
2018-10-11 11:34:40.956 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/financial/findOne/{productId}],methods=[GET]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.FinancialProductController.info(java.lang.Integer)
2018-10-11 11:34:40.957 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/financial/findFour],methods=[GET]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.FinancialProductController.findFour()
2018-10-11 11:34:40.957 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/financial/findList],methods=[GET]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.FinancialProductController.List()
2018-10-11 11:34:40.958 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/login/register],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.LoginController.register(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2018-10-11 11:34:40.960 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/login/registerNoCode],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.LoginController.registerNoCode(java.lang.String,java.lang.String,java.lang.String)
2018-10-11 11:34:40.960 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/login/login],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.LoginController.login(java.lang.String,java.lang.String)
2018-10-11 11:34:40.960 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/login/sendCode],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.LoginController.sendCode(java.lang.String,java.lang.Integer) throws com.aliyuncs.exceptions.ClientException
2018-10-11 11:34:40.962 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/login/logout],methods=[GET]}" onto public java.lang.String com.ant.webPage.controller.LoginController.logout()
2018-10-11 11:34:40.962 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/login/resetPassNoCode],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.LoginController.resetPassNoCode(java.lang.String,java.lang.String,java.lang.String)
2018-10-11 11:34:40.962 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/login/resetPass],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.LoginController.resetPass(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2018-10-11 11:34:40.963 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/miner/findList],methods=[GET]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.MinerProductController.list()
2018-10-11 11:34:40.963 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/miner/findOne/{productId}],methods=[GET]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.MinerProductController.info(java.lang.Integer) throws java.lang.Exception
2018-10-11 11:34:40.965 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/order/add]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.OrderController.add(com.ant.entity.User,java.lang.Integer,java.math.BigDecimal,java.math.BigDecimal,java.math.BigDecimal)
2018-10-11 11:34:40.966 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/order/findOne],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.OrderController.findOrder(com.ant.entity.User,java.lang.Integer)
2018-10-11 11:34:40.966 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/order/profit],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.OrderController.profit(java.math.BigDecimal,java.math.BigDecimal,java.math.BigDecimal)
2018-10-11 11:34:40.966 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/order/actualReceipts],methods=[POST]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.OrderController.profit(java.math.BigDecimal,java.math.BigDecimal)
2018-10-11 11:34:40.967 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/orderRecord/my]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.OrderRecordController.record(com.ant.entity.User)
2018-10-11 11:34:40.967 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/presentRecord/my]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.PresentRecordController.record(com.ant.entity.User)
2018-10-11 11:34:40.967 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/putForward/add]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.PutForwardController.add(com.ant.entity.User,java.lang.Integer,java.math.BigDecimal,java.math.BigDecimal)
2018-10-11 11:34:40.968 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/totices/findOne/{toticesId}]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.ToticesController.info(java.lang.Integer)
2018-10-11 11:34:40.968 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/totices/findList],methods=[GET]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.ToticesController.findList()
2018-10-11 11:34:40.969 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/user/my]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.UserController.my(com.ant.entity.User)
2018-10-11 11:34:40.969 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/user/detailed]}" onto private com.ant.webPage.util.Result com.ant.webPage.controller.UserController.detailed(com.ant.entity.User)
2018-10-11 11:34:40.969 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/user/revenueRecord]}" onto public com.ant.webPage.util.Result com.ant.webPage.controller.UserController.revenueRecord(com.ant.entity.User)
2018-10-11 11:34:40.971 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-10-11 11:34:40.972 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-11 11:34:41.016 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping -Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-11 11:34:41.016 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping -Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-11 11:34:41.065 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping -Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-11 11:34:41.093 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping -Adding welcome page: class path resource [static/index.html]
2018-10-11 11:34:41.454 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
